Time,pH,Hydrogen,Total Gas,Temperature,Pressure,Radioactivity,Power,Reactor Safety,Injection of Air,Injection of Air Degree,Resin Overheat,Resin Overheat Degree,Fuel Element Failure,Fuel Element Failure Degree,Chemical Addition,Vent Gas
2690,10.660412433314917,41.18158273559302,60.027773113958204,507.0000000000002,2147.5000000000014,1252.1363533784734,100.0,1,,,,,True,True,False,False
2691,10.658412433314917,41.099764242887595,59.94595462125278,506.3558669963538,2143.129097475258,1252.1363533784734,100.0,1,,,,,True,True,False,False
2692,10.656412433314916,41.01589986788645,59.86209024625164,505.69431300306127,2138.639981092201,1252.1363533784734,100.0,1,,,,,True,True,False,False
2693,10.654412433314915,40.930232085338396,59.77642246370358,505.0171512936345,2134.0449552068058,1252.1363533784734,100.0,1,,,,,True,True,False,False
2694,10.652412433314915,40.843007142323934,59.68919752068912,504.3262379212495,2129.3566144656215,1252.1363533784734,100.0,1,,,,,True,True,False,False
2695,10.650412433314914,40.7544742586589,59.60066463702409,503.6234666314354,2124.5878092847406,1252.1363533784734,100.0,1,,,,,True,True,False,False
2696,10.648412433314913,40.664884834259524,59.51107521262471,502.91076367144865,2119.7516106276876,1252.1363533784734,100.0,1,,,,,True,True,False,False
2697,10.646412433314913,40.57449166676234,59.42068204512753,502.19008251056357,2114.8612741788243,1252.1363533784734,100.0,1,,,,,True,True,False,False
2698,10.644412433314912,40.483548182464254,59.32973856082944,501.4633984857474,2109.9302040104285,1252.1363533784734,100.0,1,,,,,True,True,False,False
2699,10.642412433314911,40.39230768340727,59.238498061772454,500.73270338740133,2104.9719158430808,1252.1363533784734,100.0,1,,,,,True,True,False,False
2700,10.64041243331491,40.301022613175576,59.14721299154076,500.0,2100.0,1252.1363533784734,100.0,1,,,,,True,True,False,False
2701,10.63841243331491,40.209943843710725,59.05613422207591,499.2672966125991,2095.0280841569224,1252.1363533784734,100.0,1,,,,,True,True,False,False
2702,10.63641243331491,40.119319985178905,58.96551036354409,498.53660151425305,2090.0697959895742,1252.1363533784734,100.0,1,,,,,True,True,False,False
2703,10.634412433314909,40.02939672065381,58.87558709901899,497.8099174894369,2085.138725821179,1252.1363533784734,100.0,1,,,,,True,True,False,False
2704,10.632412433314908,39.9404161671042,58.78660654546939,497.0892363285514,2080.248389372313,1252.1363533784734,100.0,1,,,,,True,True,False,False
2705,10.630412433314907,39.85261626390903,58.698806642274214,496.376533368565,2075.4121907152626,1252.1363533784734,100.0,1,,,,,True,True,False,False
2706,10.628412433314907,39.76623018985857,58.612420568223754,495.67376207875094,2070.643385534381,1252.1363533784734,100.0,1,,,,,True,True,False,False
2707,10.626412433314906,39.68148580934837,58.52767618771356,494.98284870636587,2065.955044793197,1252.1363533784734,100.0,1,,,,,True,True,False,False
2708,10.624412433314905,39.59860514822791,58.4447955265931,494.3056869969388,2061.360018907799,1252.1363533784734,100.0,1,,,,,True,True,False,False
2709,10.622412433314905,39.51780389953837,58.36399427790356,493.64413300364663,2056.870902524745,1252.1363533784734,100.0,1,,,,,True,True,False,False
2710,10.620412433314904,39.439290959157994,58.28548133752318,493.00000000000017,2052.500000000001,1252.1363533784734,100.0,1,,,,,True,True,False,False
2711,10.618412433314903,39.36326799117667,58.209458369541856,492.37505350978967,2048.259291673573,1252.1363533784734,100.0,1,,,,,True,True,False,False
2712,10.616412433314903,39.28992902263926,58.13611940100444,491.77100646790535,2044.1604010322148,1252.1363533784734,100.0,1,,,,,True,True,False,False
2713,10.614412433314902,39.21946006713764,58.065650445502826,491.1895145253025,2040.214562850267,1252.1363533784734,100.0,1,,,,,True,True,False,False
2714,10.612412433314901,39.152038776587744,57.99822915495293,490.6321715109761,2036.4325923959093,1252.1363533784734,100.0,1,,,,,True,True,False,False
2715,10.6104124333149,39.087834120407365,57.93402449877255,490.10050506338837,2032.8248557872782,1252.1363533784734,100.0,1,,,,,True,True,False,False
2716,10.6084124333149,39.02700609120733,57.87319646957252,489.5959724433167,2029.4012415796492,1252.1363533784734,100.0,1,,,,,True,True,False,False
2717,10.6064124333149,38.96970543602851,57.8158958143937,489.1199565396026,2026.1711336615888,1252.1363533784734,100.0,1,,,,,True,True,False,False
